movie_title,genres,imdb_score,title_year,music genre,song,artist,year,Rating,ISBN,Book-Title,Book-Author,book genre,Rating
Interstellar,Adventure,8.6,2016,pop,wake me up,avicii,2013,8.6,3499110695,The fault in our Stars,Jerome D. Salinger,Romance,7.8
Spirited Away,Adventure,8.6,2016,jazz,Round Midnight,lfo,2000,8.6,3499151502,"Hebt den Dachbalken hoch, Zimmerleute / Seymour wird vorgestellt.",Jerome D. Salinger,Crime,7.8
American History X,Crime,8.6,2016,pop rock,as i lay me down,sophie b hawkins,1996,8.6,345378490,Congo,Michael Crichton,Crime,7.8
Se7en,Crime,8.6,2016,jazz,Take five,immature,1994,8.6,345404793,Protect and Defend,Richard North Patterson,Fiction,7.8
The Usual Suspects,Crime,8.6,2016,EDM,Dont let me down,The Chainsmokers,1988,8.6,385497466,The Brethren,JOHN GRISHAM,Fiction,7.8
The Silence of the Lambs,Crime,8.6,2016,EDM,Lean On,DJ Snake,1986,8.6,385508042,The King of Torts,John Grisham,Fiction,7.8
Once Upon a Time in the West,Western,8.6,2016,EDM,Summer ,Calvin Harris,1981,8.6,451162072,Pet Sematary,Stephen King,Fiction,7.8
It's a Wonderful Life,Drama,8.6,2016,jazz,Strange Fruit,firefall,1979,8.6,451186648,A walk to remeber,Steve Thayer,Romance,7.8
Casablanca,Drama,8.6,2016,jazz,In the mood,aretha franklin,1971,8.6,786863986,Naked in Death,Malachy McCourt,Romance,7.8
Modern Times,Comedy,8.6,2016,pop rock,Thunder,Imagine Dragons,2017,8.6,803251718,Crazy Horse,Mari Sandoz,Romance,7.8
Luther,Crime,8.6,2016,pop rock,I Gotta Feeling,The Balck Eyed,1965,8.6,435272683,Great Expectations (Heinemann Guided Readers),John Milne,Romance,7.8
Spartacus: War of the Damned,Action,8.6,2016,EDM,I could be the one,avicii,2014,8.5,61052515,"Maskerade: A Novel of Discworld (Pratchett, Terry. Discworld Series (New York, N.Y.).)",Terry Pratchett,Romance,7.8
Airlift,Action,8.5,2016,pop,pour it up,rihanna,2013,8.5,61052523,Interesting Times: A Novel of Discworld,Terry Pratchett,Fiction,7.8
Whiplash,Drama,8.5,2016,EDM,Dont you Worry Child,john mayer,2008,8.5,375814248,James and the Giant Peach,ROALD DAHL,Fiction,7.8
The Dark Knight Rises,Action,8.5,2016,pop,shawty,plies featuring tpain,2007,8.5,375823352,"The Amber Spyglass (His Dark Materials, Book 3)",PHILIP PULLMAN,Romance,7.8
Django Unchained,Drama,8.5,2016,pop,let me hold you,bow wow featuring omarion,2005,8.5,451523415,Little Women (Signet Classic),Louisa May Alcott,Romance,7.8
Samsara,Documentary,8.5,2016,rap,Rockstar,cassidy featuring r kelly,2004,8.5,451526279,Emma (Signet Classics (Paperback)),Jane Austen,Crime,7.8
The Departed,Crime,8.5,2016,pop,dont wanna try,frankie j,2003,8.5,749748001,The Enchanted Wood,Enid Blyton,Crime,7.8
The Prestige,Drama,8.5,2016,rock,Satisfaction,mary j blige,2002,8.5,749748028,The Folk of the Faraway Tree,Enid Blyton,Fiction,7.8
The Lives of Others,Drama,8.5,2016,pop rock,another one bites the dust,queen,1997,8.5,044023722X,A Painted House,John Grisham,Fiction,7.8
The Pianist,Biography,8.5,2016,jazz,All Blues,huey lewis and the news,1988,8.5,1573225487,The Romance Reader,Pearl Abraham,Fiction,7.8
Memento,Mystery,8.5,2016,jazz,Sing sing sing,the jets,1987,8.5,590431110,The Journey Home,Isabelle Holland,Fiction,7.8
Shadow Conspiracy,Action,8.5,2016,,if you leave,orchestral manoeuvres in the dark,1986,8.5,64470113,Taking the Ferry Home,Pam Conrad,Crime,7.8
Children of Heaven,Drama,8.5,2016,,another one bites the dust,queen,1981,8.5,671018930,The War in Heaven (Eternal Warriors),Theodore Beale,Fiction,7.8
The Lion King,Adventure,8.5,2016,,an american dream,the dirt band,1980,8.5,812541642,Waiting,Frank M. Robinson,Fiction,7.8
Back to the Future,Adventure,8.5,2016,,music box dancer,frank mills,1979,8.5,1573228737,Affinity,Sarah Waters,Romance,7.8
Raiders of the Lost Ark,Action,8.5,2016,,right time of the night,jennifer warnes,1977,8.5,9681500555,Diario de Ana Frank,Anne Frank,Fiction,7.8
Apocalypse Now,Drama,8.5,2016,,have you never been mellow,olivia newtonjohn,1975,8.5,771088191,The Best Canadian Animal Stories: Classic Tales by Master Storytellers,Muriel Whitaker,Fiction,7.8
Alien,Horror,8.5,2016,,oh girl,the chilites,1972,8.5,1559703237,Trying to Save Piggy Sneed,John Irving,Fiction,7.8
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Comedy,8.5,2016,,band of gold,freda payne,1970,8.5,380815923,Blackberry Wine : A Novel,Joanne Harris,Fiction,7.8
Psycho,Horror,8.5,2016,,magic carpet ride,steppenwolf,1968,8.5,385416342,The Firm,John Grisham,Fiction,7.8
Entourage,Comedy,8.5,2016,,snoopy vs the red baron,the royal guardsmen,1967,8.5,590481371,I Spy Spooky Night: A Book of Picture Riddles (I Spy Books),Walter Wick,Romance,7.8
Happy Valley,Crime,8.5,2016,,here comes my baby,the tremeloes,1967,8.5,067103619X,Lake News,Barbara Delinsky,Romance,7.8
Baahubali: The Beginning,Action,8.4,2016,,green green grass of home,tom jones,1967,8.5,140345809,House of Stairs,William Sleator,Fiction,7.8
"Batman: The Dark Knight Returns, Part2",Action,8.4,2016,,you were on my mind,we five,1965,8.5,156528207,The Little Prince,Antoine de Saint-ExupÃ©ry,Fiction,7.8
The Other Dream Team,Documentary,8.4,2016,,bailando,enrique iglesias featuring descemer bueno and gente de zona,2014,8.4,373196989,"Santa Brought A Son : Marrying The Boss's Daughter (Silhouette Romance, 1698)",Melissa McClone,Romance,7.8
Rango,Adventure,8.4,2016,rap,Forever,phillip phillips,2012,8.4,373245580,"Marry Me ... Again   Montana Mavericks (Silhouette Special Edition, 1558)",Cheryl St. John,Romance,7.8
Contagion,Drama,8.4,2016,rap,hold it against me,britney spears,2011,8.4,039456894X,Impossible Vacation,Spalding Gray,Fiction,7.8
A Separation,Drama,8.4,2016,pop,say hey i love you,michael franti  spearhead featuring cherine anderson,2009,8.4,440224675,Hannibal,Thomas Harris,Fiction,7.8
WALL,Adventure,8.4,2016,rap,shortie like mine,bow wow featuring chris brown and johnt'a austin,2007,8.4,897322339,"The Best in Tent Camping: Smoky Mountains : A Guide for Campers Who Hate Rvs, Concrete Slabs, and Loud Portable Stereos (Best in Tent Camping Colorado)",Johnny Molloy,Fiction,7.8
Charlie Wilson's War,Biography,8.4,2016,rap,unwritten,natasha bedingfield,2006,8.4,940322978,Mawrdew Czgowchwz (New York Review Books Classics),James McCourt,Fiction,7.8
U23D,Documentary,8.4,2016,pop,pon de replay,rihanna,2005,8.4,8472224260,Negra i consentida (Col¨lecciÃ³ El Mirall),OfÃ¨lia Dracs,Crime,7.8
Happy Feet,Animation,8.4,2016,pop,everytime,britney spears,2004,8.4,8472227421,Essa efa (Col¨lecciÃ³ El Mirall i el temps),OfÃ¨lia Dracs,Fiction,7.8
Rang De Basanti,Comedy,8.4,2016,pop rock,miss you,aaliyah,2003,8.4,8486433193,Amorrada al pilÃ³ (Columna),Maria JaÃ©n,Romance,7.8
Oldboy,Drama,8.4,2016,jazz,in those jeans,ginuwine,2003,8.4,600586898,Blur (Melody Maker),Paul Lester,Crime,7.8
AmÃ,Comedy,8.4,2016,pop,the jump off,lil kim featuring mr cheeks,2003,8.4,345335465,Dragonflight (Dragonriders of Pern Trilogy (Paperback)),Anne McCaffrey,Crime,7.8
Unbreakable,Drama,8.4,2016,rock,Layla,christina aguilera lil kim m'ya and pink,2001,8.4,345416848,Last Sword of Power (Stones of Power),David Gemmell,Crime,7.8
Requiem for a Dream,Drama,8.4,2016,rock,stranger in my house,tamia,2001,8.4,843136685,Sheldon &amp, Mrs. Levine: An Excruciating Correspondence,Fiction,7.8
Stuart Little,Adventure,8.4,2016,rap,one more day,diamond rio,2001,8.4,866119531,Black Beauty (Great Illustrated Classics (Playmore)),Anna Sewell,Crime,7.8
The Matrix,Action,8.4,2016,,rock and roll dreams come through,meat loaf,1994,8.4,014023828X,The Tortilla Curtain,T. Coraghessan Boyle,Fiction,7.8
American Beauty,Drama,8.4,2016,,more than words,extreme,1991,8.4,316314927,Sarah Conley,Ellen Gilchrist,Fiction,7.8
The Prince of Egypt,Adventure,8.4,2016,,this house,tracie spencer,1991,8.4,767903579,Falling Leaves: The True Story of an Unwanted Chinese Daughter,Adeline Yen Mah,Romance,7.8
Princess Mononoke,Adventure,8.4,2016,,everybody plays the fool,aaron neville,1991,8.4,805063897,Nickel and Dimed: On (Not) Getting By in America,Barbara Ehrenreich,Crime,7.8
Braveheart,Biography,8.4,2016,,i wanna have some fun,samantha fox,1989,8.4,842329129,Left Behind: A Novel of the Earth's Last Days (Left Behind No. 1),Tim Lahaye,Crime,7.8
Wyatt Earp,Adventure,8.4,2016,,hold on to the nights,richard marx,1988,8.4,345451260,Househusband,AD HUDLER,Fiction,7.8
Reservoir Dogs,Crime,8.4,2016,,mercedes boy,pebbles,1988,8.4,380732335,Florida Road Kill: A Novel,Tim Dorsey,Fiction,7.8
Aliens,Action,8.4,2016,,i cant go for that no can do,daryl hall  john oates,1982,8.4,385337132,The 37th Hour,JODI COMPTON,Fiction,7.8
Red Dawn,Action,8.4,2016,,do that to me one more time,captain  tennille,1980,8.4,60932759,Daughter of Fortune,Isabel Allende,Fiction,7.8
Once Upon a Time in America,Crime,8.4,2016,,take your time do it right,the sos band,1980,8.4,61000280,The Fly on the Wall,Tony Hillerman,Romance,7.8
Star Wars: Episode VI- Return of the Jedi,Action,8.4,2016,,two out of three aint bad,meat loaf,1978,8.4,486281965,The Country of the Pointed Firs (Dover Thrift Editions),Sarah Orne Jewett,Romance,7.8
Das Boot,Adventure,8.4,2016,,star wars main title,london symphony orchestra,1977,8.4,486292940,Early Poems (Dover Thrift Editions),William Carlos Williams,Romance,7.8
Lion of the Desert,Biography,8.4,2016,,i believe in you you believe in me,johnnie taylor,1973,8.4,312278586,The Nanny Diaries: A Novel,Emma McLaughlin,Romance,7.8
The Shining,Drama,8.4,2016,,if you let me make love to you then why cant i touch you,ronnie dyson,1970,8.4,8845229041,Biblioteca Universale Rizzoli: Sulla Sponda Del Fiume Piedra,P Coelho,Fiction,7.8
A Charlie Brown Christmas,Animation,8.4,2016,,save your heart for me,gary lewis  the playboys,1965,8.4,679310002,Going down swinging,Billie Livingston,Fiction,7.8
Lawrence of Arabia,Adventure,8.4,2016,pop,american kids,kenny chesney,2014,8.3,312288115,Confessions of a Sociopathic Social Climber : The Katya Livingston Chronicles (Katya Livingston Chronicles (Hardcover)),Adele Lang,Romance,7.8
To Kill a Mockingbird,Crime,8.4,2016,pop,let me love you until you learn to love yourself,neyo,2013,8.3,156027321,Life of Pi,Yann Martel,Romance,7.8
Veronica Mars,Crime,8.4,2015,rap,pound the alarm,nicki minaj,2012,8.3,375403582,Rules of the Wild,Francesca Marciano,Fiction,7.8
The Inbetweeners,Comedy,8.4,2015,latin pop,somethin bout a truck,kip moore,2012,8.3,080213825X,Four Blondes,Candace Bushnell,Romance,7.8
Psych,Comedy,8.4,2015,rap,she aint you,chris brown,2011,8.3,515127833,River's End,Nora Roberts,Fiction,7.8
Anne of Green Gables,Drama,8.4,2015,pop,how low,ludacris,2010,8.3,425182878,Chosen Prey,John Sandford,Crime,7.8
M*A*S*H,Comedy,8.4,2015,latin pop,big shit poppin do it,ti,2007,8.3,553564528,Into thin air,TAMI HOAG,Non fiction,7.8
Inside Out,Adventure,8.3,2015,country,ayo technology,50 cent featuring justin timberlake and timbaland,2007,8.3,671868713,"Surely you are joking , Mr Feynman !",Ann Rule,Non fiction,7.8
Room,Drama,8.3,2015,pop,do it to it,cherish featuring sean p,2006,8.3,038549825X,Manual for Living,E. LYNN HARRIS,Non fiction,7.8
Unbroken,Biography,8.3,2015,rap,show stopper,danity kane featuring yung joc,2006,8.3,1562827049,"The Diary of Jack the Ripper/the Discovery, the Investigation, the Debate",Jack,Fiction,7.8
The Sound and the Shadow,Comedy,8.3,2015,pop,caught up,usher,2005,8.3,385306032,Vanished,Danielle Steel,Romance,7.8
The Hunt,Drama,8.3,2015,pop,goin crazy,natalie,2005,8.3,440441501,In the Dinosaur's Paw (Kids of the Polk Street School),PATRICIA REILLY GIFF,Crime,7.8
Toy Story3,Adventure,8.3,2015,latin pop,outta control,50 cent featuring mobb deep,2005,8.3,590687301,Ralph S. Mouse,Beverly Cleary,Fiction,7.8
Inside Job,Crime,8.3,2015,pop,this love,maroon 5,2004,8.3,449211770,The Tightrope Walker,Dorothy Gilman,Fiction,7.8
Up,Adventure,8.3,2015,jazz,kryptonite,3 doors down,2001,8.3,193072229X,A Brief Histroy of Time,Moveon,Non fiction,7.8
Inglourious Basterds,Adventure,8.3,2015,pop,no more baby ima do right,3lw,2001,8.3,380709260,Socks (Cleary Reissue),Beverly Cleary,Fiction,7.8
Blades of Glory,Comedy,8.3,2015,,thinkin bout it,gerald levert,1998,8.3,807565288,"The Pet Shop Mystery (Boxcar Children Special (Paper), No 7)",Gertrude Chandler Warner,Fiction,7.8
No End in Sight,Documentary,8.3,2015,,its all coming back to me now,celine dion,1996,8.3,080411952X,The Unsung Hero,Suzanne Brockmann,Fiction,7.8
Lake of Fire,Documentary,8.3,2015,,boombastic,shaggy,1995,8.3,60575808,"Two Princesses of Bamarre, The",Gail Carson Levine,Fiction,7.8
Batman Begins,Action,8.3,2015,,constantly,immature,1995,8.3,516076272,A polar bear called Pingo,Ilona Koidahl,Fiction,7.8
Cheaper by the Dozen2,Adventure,8.3,2015,,like the way i do,melissa etheridge,1995,8.3,679450432,Dark Lady,Richard North Patterson,Sci-fi,7.8
Spanglish,Comedy,8.3,2015,,i have nothing,whitney houston,1993,8.3,965404560,Atonement,Ian McEwan,Romance,7.8
Eternal Sunshine of the Spotless Mind,Drama,8.3,2015,,rain,madonna,1993,8.3,006015781X,Why Do Clocks Run Clockwise? and Other Imponderables: Mysteries of Everyday Life Explained,David Feldman,Fiction,7.8
Downfall,Biography,8.3,2015,,tell me what you want me to do,tevin campbell,1992,8.3,1573229148,Crossing the Unknown Sea: Work As a Pilgrimage of Identity,David Whyte,Fiction,7.8
"Peace, Propaganda& the Promised Land",Documentary,8.3,2015,,keep on walkin,cece peniston,1992,8.3,787955671,The Future of Leadership: Today's Top Leadership Thinkers Speak to Tomorrow's Leaders,Warren  Bennis,Fiction,7.8
Bad Boys II,Action,8.3,2015,,girl you know its true,milli vanilli,1989,8.3,1576737357,Diary of a Teenage Girl - Becoming Me : Diary Number 1 (Diary of a Teenage Girl),Melody Carlson,Comedy,7.8
Harry Potter and the Chamber of Secrets,Adventure,8.3,2015,,ill be loving you forever,new kids on the block,1989,8.3,60083298,The Dominant Blonde,Alisa Kwitney,Romance,7.8
102 Dalmatians,Adventure,8.3,2015,,i want your sex,george michael,1987,8.3,015600710X,Strange Fits of Passion: A Novel,Anita Shreve,Fiction,7.8
Snatch,Comedy,8.3,2015,,hello,lionel richie,1984,8.3,62517856,The Monk Downstairs: A Novel,Tim Farrington,Fiction,7.8
Snatch,Comedy,8.3,2015,,automatic,pointer sisters,1984,8.3,225300670X,A l'Ouest rien de nouveau,Erich Maria Remarque,Fiction,7.8
A Civil Action,Drama,8.3,2015,,jojo,boz scaggs,1980,8.3,2266084372,Pourquoi j'ai mangï¿½?© mon pï¿½?¨re,Lewis,Fiction,7.8
L.A. Confidential,Crime,8.3,2015,,a little more love,olivia newtonjohn,1979,8.3,229000510X,Une porte sur l'ï¿½?©tï¿½?©,Robert A. Heinlein,Fiction,7.8
Good Will Hunting,Drama,8.3,2015,,moonlight feels right,starbuck,1976,8.3,3492207006,Die Entdeckung der Langsamkeit.,Sten Nadolny,Fiction,7.8
Toy Story,Adventure,8.3,2015,,im not lisa,jessi colter,1975,8.3,375759778,Prague : A Novel,ARTHUR PHILLIPS,Fiction,7.7
Hoop Dreams,Documentary,8.3,2015,,hey there lonely girl,eddie holman,1970,8.3,961769947,Northwest Wines and Wineries,Chuck Hill,Fiction,7.7
Unforgiven,Drama,8.3,2015,,travelin band,creedence clearwater revival,1970,8.3,394743741,The yawning heights,Aleksandr Zinoviev,Fiction,7.7
Amadeus,Biography,8.3,2015,,paint it black,the rolling stones,1966,8.3,671867156,Pretend You Don't See Her,Mary Higgins Clark,Fiction,7.7
Scarface,Crime,8.3,2015,,just once in my life,the righteous brothers,1965,8.3,375724575,The Family Orchard,Nomi Eve,Fiction,7.7
Raging Bull,Biography,8.3,2015,,nowhere to run,martha and the vandellas,1965,8.3,451169530,The Stand: Complete and Uncut,Stephen King,Thriller,7.7
Taxi Driver,Crime,8.3,2015,,too many rivers,brenda lee,1965,8.3,1841721522,New Vegetarian: Bold and Beautiful Recipes for Every Occasion,Celia Brooks Brown,Fiction,7.6
Monty Python and the Holy Grail,Adventure,8.3,2015,pop,thinking out loud,ed sheeran,2015,8.2,679429220,Midnight in the Garden of Good and Evil: A Savannah Story,John Berendt,Fiction,7.6
The Sting,Comedy,8.3,2015,,roar,katy perry,2014,8.2,671864769,Relics (Star Trek: The Next Generation),Michael Jan Friedman,Fiction,7.6
2001: A Space Odyssey,Adventure,8.3,2015,pop,harlem shake,baauer,2013,8.2,671027360,Angels &amp, Demons,Fiction,7.6
The Great Escape,Adventure,8.3,2015,rap,roar,katy perry,2013,8.2,425184226,The Sum of All Fears,Tom Clancy,Fiction,7.6
Judgment at Nuremberg,Drama,8.3,2015,rap,sail,awolnation,2013,8.2,393020371,Next: The Future Just Happened,Michael Lewis,Crime,7.6
The Apartment,Comedy,8.3,2015,pop,take a little ride,jason aldean,2012,8.2,385336772,Diary of a Mad Mom-To-Be,Laura Wolf,Crime,7.6
Some Like It Hot,Comedy,8.3,2015,pop,hey baby drop it to the floor,pitbull featuring tpain,2011,8.2,671461494,The Hitchhiker's Guide to the Galaxy,Douglas Adams,Fiction,7.6
Singin' in the Rain,Comedy,8.3,2015,pop,sweet dreams,beyonce,2010,8.2,830714014,Always Daddy's Girl: Understanding Your Father's Impact on Who You Are,H. Norman Wright,Romance,7.6
Metropolis,Drama,8.3,2015,rap,love story,taylor swift,2009,8.2,3257212429,Die Mechanismen der Freude. Erzï¿½?¤hlungen.,Ray Bradbury,Crime,7.6
The Big Parade,Drama,8.3,2015,rap,so what,pink,2009,8.2,3498020862,Die Korrekturen.,Jonathan Franzen,Crime,7.6
The Missing,Crime,8.3,2015,rap,miss independent,neyo,2009,8.2,345311396,Private Screening,Richard North Patterson,Fiction,7.6
Shaun the Sheep,Animation,8.3,2015,teen pop,big green tractor,jason aldean,2009,8.2,385316895,Legacy of Silence,Belva Plain,Crime,7.6
Preacher,Adventure,8.3,2015,pop,my love,justin timberlake featuring ti,2006,8.2,449911004,Patty Jane's House of Curl (Ballantine Reader's Circle),LORNA LANDVIK,Fiction,7.6
Captain America: Civil War,Action,8.2,2015,pop,we belong together,mariah carey,2005,8.2,743486226,Angels &amp, Demons,Fiction,7.6
Godzilla Resurgence,Action,8.2,2015,pop,play,david banner,2005,8.2,1558744150,Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,Romance,7.6
Godzilla Resurgence,Action,8.2,2015,pop,1 thing,amerie,2005,8.2,61050474,Jingo: A Discworld Novel (Discworld Series/Terry Pratchett),Terry Pratchett,Romance,7.6
Growing Up Smith,Comedy,8.2,2015,jazz,drop it like its hot,snoop dogg featuring pharrell,2004,8.2,375801677,The Iron Giant,Ted Hughes,Romance,7.6
Rise of the Entrepreneur: The Search for a Better Way,Documentary,8.2,2015,pop,the middle,jimmy eat world,2002,8.2,451409256,Making Minty Malone,Isabel Wolff,Fiction,7.6
The Wolf of Wall Street,Biography,8.2,2015,pop,im real,jennifer lopez featuring ja rule,2001,8.2,743245024,The Forsyte Saga : The Man of Property and In Chancery,John Galsworthy,Fiction,7.6
The Brain That Sings,Documentary,8.2,2015,rock,this i promise you,n sync,2001,8.2,440235502,October Sky: A Memoir,Homer Hickam,Crime,7.6
The Act of Killing,Biography,8.2,2015,,the real slim shady,eminem,2000,8.2,671649949,OBJECT AFFECTION,Stephen McCauley,Fiction,7.6
Warrior,Drama,8.2,2015,,take me there,blackstreet featuring m'ya mase and blinky blink,1999,8.2,055329198X,Wolf Moon,John R. Holt,Fiction,7.6
How to Train Your Dragon,Adventure,8.2,2015,,save the best for last,vanessa williams,1992,8.2,380730138,Vinegar Hill (Oprah's Book Club (Paperback)),A. Manette Ansay,Crime,7.6
Incendies,Drama,8.2,2015,,touch me all night long,cathy dennis,1991,8.2,771076002,Remembering Peter Gzowski : A Book of Tributes,EDNA BARKER,Crime,7.6
The Secret in Their Eyes,Drama,8.2,2015,,how can we be lovers,michael bolton,1990,8.2,380704587,The Ladies of Missalonghi,Colleen McCullough,Fiction,7.6
Gran Torino,Drama,8.2,2015,,little lies,fleetwood mac,1987,8.2,590450875,I Spy: A Book of Picture Riddles,Jean Marzollo,Fiction,7.6
Into the Wild,Adventure,8.2,2015,,the search is over,survivor,1985,8.2,1880185008,"Serving As Senders: How to Care for Your Missionaries While They Are Preparing to Go, While They Are on the Field, When They Return Home",Neal Pirolo,Crime,7.6
